MAr compressed archive,4D 41 72 30 00,Hex,N/A,MAR,Compressed archive
Windows dump file,4D 44 4D 50 93 A7,Hex,N/A,DMP|HDMP,Windows
Milestones project management file,4D 49 4C 45 53,Hex,N/A,MLS,Miscellaneous
Skype localization data file,4D 4C 53 57,Hex,N/A,MLS,Network
TIFF file_3,4D 4D 00 2A,Hex,N/A,TIF|TIFF,Picture
TIFF file_4,4D 4D 00 2B,Hex,N/A,TIF|TIFF,Picture
Yamaha Synthetic music Mobile Application Format,4D 4D 4D 44 00 00,Hex,N/A,MMF,Multimedia
VMware BIOS state file,4D 52 56 4E,Hex,N/A,NVRAM,Miscellaneous
Microsoft cabinet file,4D 53 43 46,Hex,N/A,CAB,Windows
Powerpoint Packaged Presentation,4D 53 43 46,Hex,N/A,PPZ,Presentation
MS Access Snapshot Viewer file,4D 53 43 46,Hex,N/A,SNP,Database
OLE|SPSS|Visual C++ library file,4D 53 46 54 02 00 01 00,Hex,N/A,TLB,Programming
Sony Compressed Voice File,4D 53 5F 56 4F 49 43 45,Hex,N/A,CDR|DVF|MSV,Multimedia
MIDI sound file,4D 54 68 64,Hex,N/A,MID|MIDI,Multimedia
CD Stomper Pro label file,4D 56,Hex,N/A,DSN,Miscellaneous
Milestones project management file_1,4D 56 32 31 34,Hex,N/A,MLS,Miscellaneous
Milestones project management file_2,4D 56 32 43,Hex,N/A,MLS,Miscellaneous
Windows|DOS executable file,4D 5A,Hex,N/A,COM|DLL|DRV|EXE|PIF|QTS|QTX|SYS,Windows
MS audio compression manager driver,4D 5A,Hex,N/A,ACM,Multimedia
Library cache file,4D 5A,Hex,N/A,AX,Windows
Control panel application,4D 5A,Hex,N/A,CPL,Windows
Font file,4D 5A,Hex,N/A,FON,Windows
